7	0.27	0.36	20.7	0.045	45	170	1.001	3	0.45	8.8	6	1
6.3	0.3	0.34	1.6	0.049	14	132	0.994	3.3	0.49	9.5	6	1
8.1	0.28	0.4	6.9	0.05	30	97	0.9951	3.26	0.44	10.1	6	1
7.2	0.23	0.32	8.5	0.058	47	186	0.9956	3.19	0.4	9.9	6	1
7.2	0.23	0.32	8.5	0.058	47	186	0.9956	3.19	0.4	9.9	6	1
8.1	0.28	0.4	6.9	0.05	30	97	0.9951	3.26	0.44	10.1	6	1
6.2	0.32	0.16	7	0.045	30	136	0.9949	3.18	0.47	9.6	6	1
7	0.27	0.36	20.7	0.045	45	170	1.001	3	0.45	8.8	6	1
6.3	0.3	0.34	1.6	0.049	14	132	0.994	3.3	0.49	9.5	6	1
8.1	0.22	0.43	1.5	0.044	28	129	0.9938	3.22	0.45	11	6	1
8.1	0.27	0.41	1.45	0.033	11	63	0.9908	2.99	0.56	12	5	1
8.6	0.23	0.4	4.2	0.035	17	109	0.9947	3.14	0.53	9.7	5	1
7.9	0.18	0.37	1.2	0.04	16	75	0.992	3.18	0.63	10.8	5	1
6.6	0.16	0.4	1.5	0.044	48	143	0.9912	3.54	0.52	12.4	7	1
8.3	0.42	0.62	19.25	0.04	41	172	10.002	2.98	0.67	9.7	5	1
6.6	0.17	0.38	1.5	0.032	28	112	0.9914	3.25	0.55	11.4	7	1
6.3	0.48	0.04	1.1	0.046	30	99	0.9928	3.24	0.36	9.6	6	1
6.2	0.66	0.48	1.2	0.029	29	75	0.9892	3.33	0.39	12.8	8	1
7.4	0.34	0.42	1.1	0.033	17	171	0.9917	3.12	0.53	11.3	6	1
6.5	0.31	0.14	7.5	0.044	34	133	0.9955	3.22	0.5	9.5	5	1
6.2	0.66	0.48	1.2	0.029	29	75	0.9892	3.33	0.39	12.8	8	1
6.4	0.31	0.38	2.9	0.038	19	102	0.9912	3.17	0.35	11	7	1
6.8	0.26	0.42	1.7	0.049	41	122	0.993	3.47	0.48	10.5	8	1
7.6	0.67	0.14	1.5	0.074	25	168	0.9937	3.05	0.51	9.3	5	1
6.6	0.27	0.41	1.3	0.052	16	142	0.9951	3.42	0.47	10	6	1
7	0.25	0.32	9	0.046	56	245	0.9955	3.25	0.5	10.4	6	1
6.9	0.24	0.35	1	0.052	35	146	0.993	3.45	0.44	10	6	1
7	0.28	0.39	8.7	0.051	32	141	0.9961	3.38	0.53	10.5	6	1
7.4	0.27	0.48	1.1	0.047	17	132	0.9914	3.19	0.49	11.6	6	1
7.2	0.32	0.36	2	0.033	37	114	0.9906	3.1	0.71	12.3	7	1
8.5	0.24	0.39	10.4	0.044	20	142	0.9974	3.2	0.53	10	6	1
8.3	0.14	0.34	1.1	0.042	7	47	0.9934	3.47	0.4	10.2	6	1
7.4	0.25	0.36	2.05	0.05	31	100	0.992	3.19	0.44	10.8	6	1
6.2	0.12	0.34	1.5	0.045	43	117	0.9939	3.42	0.51	9	6	1
5.8	0.27	0.2	14.95	0.044	22	179	0.9962	3.37	0.37	10.2	5	1
7.3	0.28	0.43	1.7	0.08	21	123	0.9905	3.19	0.42	12.8	5	1
6.5	0.39	0.23	5.4	0.051	25	149	0.9934	3.24	0.35	10	5	1
7	0.33	0.32	1.2	0.053	38	138	0.9906	3.13	0.28	11.2	6	1
7.3	0.24	0.39	17.95	0.057	45	149	0.9999	3.21	0.36	8.6	5	1
7.3	0.24	0.39	17.95	0.057	45	149	0.9999	3.21	0.36	8.6	5	1
6.7	0.23	0.39	2.5	0.172	63	158	0.9937	3.11	0.36	9.4	6	1
6.7	0.24	0.39	2.9	0.173	63	157	0.9937	3.1	0.34	9.4	6	1
7	0.31	0.26	7.4	0.069	28	160	0.9954	3.13	0.46	9.8	6	1
6.6	0.24	0.27	1.4	0.057	33	152	0.9934	3.22	0.56	9.5	6	1
6.7	0.23	0.26	1.4	0.06	33	154	0.9934	3.24	0.56	9.5	6	1
7.4	0.18	0.31	1.4	0.058	38	167	0.9931	3.16	0.53	10	7	1
6.2	0.45	0.26	4.4	0.063	63	206	0.994	3.27	0.52	9.8	4	1
6.2	0.46	0.25	4.4	0.066	62	207	0.9939	3.25	0.52	9.8	5	1
7	0.31	0.26	7.4	0.069	28	160	0.9954	3.13	0.46	9.8	6	1
7.4	0.7	0	1.9	0.076	11	34	0.9978	3.51	0.56	9.4	5	2
7.8	0.88	0	2.6	0.098	25	67	0.9968	3.2	0.68	9.8	5	2
7.8	0.76	0.04	2.3	0.092	15	54	0.997	3.26	0.65	9.8	5	2
11.2	0.28	0.56	1.9	0.075	17	60	0.998	3.16	0.58	9.8	6	2
7.4	0.7	0	1.9	0.076	11	34	0.9978	3.51	0.56	9.4	5	2
7.4	0.66	0	1.8	0.075	13	40	0.9978	3.51	0.56	9.4	5	2
7.9	0.6	0.06	1.6	0.069	15	59	0.9964	3.3	0.46	9.4	5	2
7.3	0.65	0	1.2	0.065	15	21	0.9946	3.39	0.47	10	7	2
7.8	0.58	0.02	2	0.073	9	18	0.9968	3.36	0.57	9.5	7	2
7.5	0.5	0.36	6.1	0.071	17	102	0.9978	3.35	0.8	10.5	5	2
6.7	0.58	0.08	1.8	0.097	15	65	0.9959	3.28	0.54	9.2	5	2
7.5	0.5	0.36	6.1	0.071	17	102	0.9978	3.35	0.8	10.5	5	2
5.6	0.615	0	1.6	0.089	16	59	0.9943	3.58	0.52	9.9	5	2
7.8	0.61	0.29	1.6	0.114	9	29	0.9974	3.26	1.56	9.1	5	2
8.9	0.62	0.18	3.8	0.176	52	145	0.9986	3.16	0.88	9.2	5	2
8.9	0.62	0.19	3.9	0.17	51	148	0.9986	3.17	0.93	9.2	5	2
8.5	0.28	0.56	1.8	0.092	35	103	0.9969	3.3	0.75	10.5	7	2
8.1	0.56	0.28	1.7	0.368	16	56	0.9968	3.11	1.28	9.3	5	2
7.4	0.59	0.08	4.4	0.086	6	29	0.9974	3.38	0.5	9	4	2
7.9	0.32	0.51	1.8	0.341	17	56	0.9969	3.04	1.08	9.2	6	2
8.9	0.22	0.48	1.8	0.077	29	60	0.9968	3.39	0.53	9.4	6	2
7.6	0.39	0.31	2.3	0.082	23	71	0.9982	3.52	0.65	9.7	5	2
7.9	0.43	0.21	1.6	0.106	10	37	0.9966	3.17	0.91	9.5	5	2
8.5	0.49	0.11	2.3	0.084	9	67	0.9968	3.17	0.53	9.4	5	2
6.9	0.4	0.14	2.4	0.085	21	40	0.9968	3.43	0.63	9.7	6	2
6.3	0.39	0.16	1.4	0.08	11	23	0.9955	3.34	0.56	9.3	5	2
7.6	0.41	0.24	1.8	0.08	4	11	0.9962	3.28	0.59	9.5	5	2
7.9	0.43	0.21	1.6	0.106	10	37	0.9966	3.17	0.91	9.5	5	2
7.1	0.71	0	1.9	0.08	14	35	0.9972	3.47	0.55	9.4	5	2
7.8	0.645	0	2	0.082	8	16	0.9964	3.38	0.59	9.8	6	2
6.7	0.675	0.07	2.4	0.089	17	82	0.9958	3.35	0.54	10.1	5	2
6.9	0.685	0	2.5	0.105	22	37	0.9966	3.46	0.57	10.6	6	2
8.3	0.655	0.12	2.3	0.083	15	113	0.9966	3.17	0.66	9.8	5	2
6.9	0.605	0.12	10.7	0.073	40	83	0.9993	3.45	0.52	9.4	6	2
5.2	0.32	0.25	1.8	0.103	13	50	0.9957	3.38	0.55	9.2	5	2
7.8	0.645	0	5.5	0.086	5	18	0.9986	3.4	0.55	9.6	6	2
7.8	0.6	0.14	2.4	0.086	3	15	0.9975	3.42	0.6	10.8	6	2
8.1	0.38	0.28	2.1	0.066	13	30	0.9968	3.23	0.73	9.7	7	2
5.7	1.13	0.09	1.5	0.172	7	19	0.994	3.5	0.48	9.8	4	2
7.3	0.45	0.36	5.9	0.074	12	87	0.9978	3.33	0.83	10.5	5	2
7.3	0.45	0.36	5.9	0.074	12	87	0.9978	3.33	0.83	10.5	5	2
8.8	0.61	0.3	2.8	0.088	17	46	0.9976	3.26	0.51	9.3	4	2
7.5	0.49	0.2	2.6	0.332	8	14	0.9968	3.21	0.9	10.5	6	2
8.1	0.66	0.22	2.2	0.069	9	23	0.9968	3.3	1.2	10.3	5	2
6.8	0.67	0.02	1.8	0.05	5	11	0.9962	3.48	0.52	9.5	5	2
4.6	0.52	0.15	2.1	0.054	8	65	0.9934	3.9	0.56	13.1	4	2
7.7	0.935	0.43	2.2	0.114	22	114	0.997	3.25	0.73	9.2	5	2
8.7	0.29	0.52	1.6	0.113	12	37	0.9969	3.25	0.58	9.5	5	2
6.4	0.4	0.23	1.6	0.066	5	12	0.9958	3.34	0.56	9.2	5	2

